ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Manually Extracted Event,"On October 28, 2003, 19-year-old Harvard University sophomore Mark Zuckerberg is dumped by his girlfriend, Erica Albright.",0:03:38,0:05:23,105,122,Fail,change_of_state
Manually Extracted Event,"Returning to his dorm, Zuckerberg writes an insulting post about Albright on his LiveJournal blog.",0:07:44,0:08:40,56,98,Success,process
Manually Extracted Event,"He creates a campus website called Facemash by hacking into college databases to steal photos of female students,",0:09:22,0:12:12,170,113,Success,process
Manually Extracted Event,then allowing site visitors to rate their attractiveness.,0:12:47,0:14:53,126,57,Success,process
Manually Extracted Event,"After traffic to the site crashes parts of Harvard's computer network,",0:15:15,0:16:10,55,70,Success,process
Manually Extracted Event,Zuckerberg is given six months of academic probation.,0:20:16,0:20:22,6,53,Success,change_of_state
Manually Extracted Event,"However, Facemash's popularity attracts the attention of twins Cameron and Tyler Winklevoss and their business partner Divya Narendra.",0:18:01,0:18:44,43,134,Fail,process
Manually Extracted Event,"The trio invites Zuckerberg to work on Harvard Connection, a social network exclusive to Harvard students and aimed at dating.",0:23:07,0:24:03,56,126,Fail,process
Manually Extracted Event,"Zuckerberg approaches his friend Eduardo Saverin with an idea for the Facebook, a social networking website that would be exclusive to Ivy League students.",0:26:22,0:27:29,67,155,Success,process
Manually Extracted Event,"Saverin provides $1,000 in seed funding, allowing Zuckerberg to build the website,",0:28:02,0:28:18,16,82,Fail,process
Manually Extracted Event,which quickly becomes popular.,0:44:01,0:44:10,9,30,Fail,change_of_state
Manually Extracted Event,"When they learn of the Facebook, the Winklevoss twins and Narendra are incensed,",0:38:47,0:39:43,56,80,Success,stative_event
Manually Extracted Event,believing that Zuckerberg stole their idea while misleading them by stalling development on the Harvard Connection website.,0:41:01,0:42:04,63,123,Fail,stative_event
Manually Extracted Event,"They raise their complaint with Harvard President Larry Summers,",1:00:54,1:01:45,51,64,Fail,process
Manually Extracted Event,who is dismissive,1:02:17,1:02:37,20,17,Fail,stative_event
Manually Extracted Event,and sees no value in disciplinary action on the Facebook or Zuckerberg.,1:02:39,1:03:12,33,71,Fail,non_event
Manually Extracted Event,"Saverin and Zuckerberg meet fellow student Christy Lee,",0:45:09,0:45:27,18,55,Fail,process
Manually Extracted Event,"who asks them to ""Facebook me,"" a phrase that impresses them.",0:45:28,0:45:53,25,61,Success,change_of_state
Manually Extracted Event,"As the Facebook grows in popularity, Zuckerberg expands the network to Yale University, Columbia University, and Stanford University.",0:53:37,0:54:31,54,133,Fail,process
Manually Extracted Event,"Lee arranges for Saverin and Zuckerberg to meet Napster co-founder Sean Parker,",1:05:20,1:06:40,80,79,Fail,process
Manually Extracted Event,who presents a "billion-dollar" vision for the company.,1:09:37,1:10:18,41,55,Fail,process
Manually Extracted Event,"Zuckerberg is impressed,",1:10:50,1:11:18,28,24,Fail,stative_event
Manually Extracted Event,but Saverin dismisses him as paranoid and delusional.,1:08:06,1:08:40,34,53,Fail,stative_event
Manually Extracted Event,Parker also suggests renaming the site to Facebook.,1:11:01,1:11:06,5,51,Success,process
Manually Extracted Event,"Later, Zuckerberg relocates the company to Palo Alto on Parker's advice;",1:14:51,1:15:08,17,72,Fail,process
Manually Extracted Event,Saverin remains in New York to work on business development.,1:18:19,1:18:23,4,60,Fail,stative_event
Manually Extracted Event,"Parker later moves into the house that Zuckerberg is using as a base of operations and becomes more involved with the company, much to Saverin's annoyance.",1:29:01,1:31:36,155,155,Success,process
Manually Extracted Event,"While competing in the 2004 Henley Royal Regatta for Harvard against the Hollandia Roeiclub, the Winklevoss twins discover that Facebook has expanded to Europe with Oxford, Cambridge and LSE,",1:24:24,1:27:54,210,191,Success,process
Manually Extracted Event,and decide to sue the company for intellectual property theft.,1:28:18,1:28:57,39,62,Success,process
Manually Extracted Event,"Meanwhile, Saverin objects to Parker making business decisions for Facebook",1:32:28,1:33:04,36,75,Fail,process
Manually Extracted Event,and freezes the company's bank account in the resulting dispute.,1:33:17,1:33:35,18,64,Success,process
Manually Extracted Event,"He relents when Zuckerberg reveals that they have secured $500,000 from angel investor Peter Thiel.",1:37:17,1:37:41,24,99,Fail,change_of_state
Manually Extracted Event,Saverin becomes enraged when he discovers that the new investment deal allows his share of Facebook to be diluted from 34% to 0.03% while maintaining the ownership percentage of all other parties.,1:42:22,1:43:30,68,196,Success,change_of_state
Manually Extracted Event,"He confronts Zuckerberg and Parker,",1:43:39,1:44:22,43,35,Fail,process
Manually Extracted Event,and Saverin vows to sue Zuckerberg before being ejected from the building.,1:44:23,1:44:46,23,74,Fail,process
Manually Extracted Event,Saverin's name is removed from the masthead as co-founder and CFO.,1:43:50,1:43:56,6,66,Fail,change_of_state
Manually Extracted Event,"Later, Parker is apprehended for cocaine possession at a party celebrating 1 million users.",1:48:47,1:49:43,56,91,Success,process
Manually Extracted Event,"He attempts to blame Saverin,",1:50:36,1:50:45,9,29,Fail,process
Manually Extracted Event,"so Zuckerberg cuts ties with him, telling him to go home.",1:50:46,1:51:00,14,57,Success,process
Manually Extracted Event,"In separate depositions, the Winklevoss twins claim that Zuckerberg stole their idea,",0:34:21,0:34:29,8,85,Fail,process
Manually Extracted Event,while Saverin claims his shares of Facebook were unfairly diluted when the company was incorporated.,1:39:22,1:39:39,17,100,Success,process
Manually Extracted Event,"Marylin Delpy, a junior lawyer for the defense, informs Zuckerberg that they will settle with Saverin since the sordid details of Facebook's founding and Zuckerberg's callous attitude will make him unsympathetic to a jury.",1:52:16,1:53:09,53,222,Fail,process
Manually Extracted Event,"Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page.",1:54:04,1:55:33,89,96,Success,process
Machine Learning Extracted Event,"Now, SOMEONE exits the Thirsty Scholar Pub into the night. Titles. Columbia Pictures presents.",0:05:26,0:05:36,10,94,Fail,
Machine Learning Extracted Event,"Now, a stately brick facade inset with white pilasters.",0:05:35,0:05:42,7,55,Fail,
Machine Learning Extracted Event,"Opposite the building, SOMEONE passes under its overhang.",0:06:03,0:06:11,8,57,Fail,
Machine Learning Extracted Event,"SOMEONE trots alongside a brick wall as he carries a backpack over one shoulder. Passing other pedestrians, he continues down a campus",0:06:10,0:06:21,11,134,Fail,
Machine Learning Extracted Event,He walks along another walkway to a flight of stone steps.,0:06:51,0:06:57,6,58,Fail,
Machine Learning Extracted Event,SOMEONE crosses through a second columned walkway ascending then descending its step.,0:07:29,0:07:38,9,85,Fail,
Machine Learning Extracted Event,"Hand stuffed in the pocket of his gray hooded sweatshirt, the young man hurries toward one of the warmly lit brick buildings and heads up a few step.",0:07:37,0:07:47,10,149,Fail,
Machine Learning Extracted Event,As he goes inside.,0:07:48,0:07:53,5,18,Success,
Machine Learning Extracted Event,"Molding, Kirkland House.",0:07:51,0:07:57,6,24,Success,
Machine Learning Extracted Event,Then enters a bedroom where he flipped his laptop.,0:07:59,0:08:04,5,50,Success,
Machine Learning Extracted Event,He shares the screen on a separate computer monitor.,0:08:02,0:08:08,6,52,Success,
Machine Learning Extracted Event,It's a small refrigerator and grabs a bottle of beer.,0:08:05,0:08:11,6,53,Success,
Machine Learning Extracted Event,"8:13 PM, SOMEONE sits at his desk.",0:08:11,0:08:18,7,34,Success,
Machine Learning Extracted Event,"Reading his blog post, he sips his beer.",0:08:24,0:08:31,7,40,Success,
Machine Learning Extracted Event,"He posts the entry, the image darkens. 9:48 PM.",0:08:38,0:08:46,8,47,Fail,
Machine Learning Extracted Event,"He removes the keyboard from a drawer and sets it on the desk, then sips his beer. A dorm mate enters with a six-pack.",0:08:48,0:08:58,10,118,Fail,
Machine Learning Extracted Event,We float down an aisle between seated college girls. The image briefly darkens. 10:17 PM.,0:09:14,0:09:23,9,89,Fail,
Machine Learning Extracted Event,He cracks his knuckles.,0:09:42,0:09:46,4,23,Success,
Machine Learning Extracted Event,It shows the group and the young women.,0:10:15,0:10:19,4,39,Success,
Machine Learning Extracted Event,Door toward a few club members. Back with SOMEONE.,0:10:57,0:11:04,7,50,Success,
Machine Learning Extracted Event,the partiers dance.,0:11:16,0:11:21,5,19,Success,
Machine Learning Extracted Event,"Outside Kirkland House, a dark haired young man hurries up the steps and scans his key card at the door.",0:11:55,0:12:03,8,104,Success,
Machine Learning Extracted Event,"In his room SOMEONE tosses a green-tailed dart to SOMEONE, which lands in his friend's Screwdriver. Meanwhile, the dark-haired young man heads upstairs.",0:12:01,0:12:13,12,152,Success,
Machine Learning Extracted Event,SOMEONE notes his webpage.,0:12:35,0:12:41,6,26,Fail,
Machine Learning Extracted Event,SOMEONE writes on the window.,0:12:44,0:12:50,6,29,Fail,
Machine Learning Extracted Event,As two young women make out.,0:13:07,0:13:12,5,28,Success,
Machine Learning Extracted Event,SOMEONE eyes SOMEONE.,0:13:32,0:13:37,5,21,Success,
Machine Learning Extracted Event,Heated young men.,0:13:40,0:13:45,5,17,Success,
Machine Learning Extracted Event,Three girls have a look.,0:14:19,0:14:24,5,24,Success,
Machine Learning Extracted Event,While her friend sits at a desk. She looks over from her laptop.,0:14:28,0:14:35,7,64,Success,
Machine Learning Extracted Event,SOMEONE joins her friend at her desk.,0:14:35,0:14:40,5,37,Success,
Machine Learning Extracted Event,"As they read, two guys barged.",0:14:37,0:14:42,5,30,Success,
Machine Learning Extracted Event,"SOMEONE glances at him while SOMEONE spins in a chair. Now in a bedroom, an older couple sleeps.",0:15:07,0:15:16,9,96,Fail,
Machine Learning Extracted Event,In SOMEONE's dorm.,0:15:43,0:15:48,5,18,Success,
Machine Learning Extracted Event,"On screen, the data window goes dark.",0:15:46,0:15:51,5,37,Success,
Machine Learning Extracted Event,SOMEONE looks at SOMEONE.,0:15:51,0:15:56,5,25,Success,
Machine Learning Extracted Event,Bashes his own head. SOMEONE grins.,0:16:00,0:16:05,5,35,Success,
Machine Learning Extracted Event,SOMEONE smirks.,0:16:06,0:16:11,5,15,Success,
Machine Learning Extracted Event,Now at a deposition with multiple lawyers.,0:16:13,0:16:19,6,42,Fail,
Machine Learning Extracted Event,SOMEONE's attorney steps away. The blonde attorney and SOMEONE beside her both get up. SOMEONE's attorney steps out. A brunette woman with shoulder length hair regards SOMEONE.,0:16:51,0:17:04,13,176,Fail,
Machine Learning Extracted Event,She faces forward.,0:17:10,0:17:15,5,18,Fail,
Machine Learning Extracted Event,"Near a calm riverside, four two-men crews row their boats along the misty water.",0:17:16,0:17:25,9,80,Fail,
Machine Learning Extracted Event,They pass under a bridge followed by a small motor boat.,0:17:22,0:17:28,6,56,Fail,
Machine Learning Extracted Event,"On one boat, a young man glanced.",0:17:25,0:17:30,5,33,Fail,
Machine Learning Extracted Event,"A fifth boat leads the pack, 50 yards ahead.",0:17:32,0:17:40,8,44,Fail,
Machine Learning Extracted Event,"They row through the low-lying mist, leaving the other boats far behind.",0:17:54,0:18:01,7,72,Fail,
Machine Learning Extracted Event,"The head of security blinks, his smile fading. Later, SOMEONE finds SOMEONE waiting outside.",0:20:14,0:20:23,9,92,Success,
Machine Learning Extracted Event,"SOMEONE glances around, then stands.",0:21:11,0:21:17,6,36,Fail,
Machine Learning Extracted Event,The twins block his path.,0:21:34,0:21:39,5,25,Fail,
Machine Learning Extracted Event,SOMEONE leads SOMEONE and his brother onward.,0:22:10,0:22:17,7,45,Fail,
Machine Learning Extracted Event,A dark-haired young man waits in the bike room.,0:22:20,0:22:26,6,47,Fail,
Machine Learning Extracted Event,"The sandwich to SOMEONE, who stares at photos on a wall.",0:22:40,0:22:46,6,56,Fail,
Machine Learning Extracted Event,The programming whiz shrugs.,0:23:05,0:23:10,5,28,Fail,
Machine Learning Extracted Event,The brother swap grins as SOMEONE studies SOMEONE soberly.,0:23:20,0:23:27,7,58,Fail,
Machine Learning Extracted Event,The club members trade quizzical looks.,0:24:00,0:24:06,6,39,Fail,
Machine Learning Extracted Event,SOMEONE shoulders his bag.,0:24:14,0:24:19,5,26,Fail,
Machine Learning Extracted Event,Back in the present.,0:24:20,0:24:25,5,20,Fail,
Machine Learning Extracted Event,SOMEONE nod.,0:25:44,0:25:49,5,12,Fail,
Machine Learning Extracted Event,"SOMEONE grins and follows SOMEONE outside into an alley. Wearing shorts, he briefly hugs himself then hops around and faces his warmly dressed friend. SOMEONE leans against him.",0:26:36,0:26:48,12,177,Success,
Machine Learning Extracted Event,We flash to the deposition.,0:27:18,0:27:23,5,27,Success,
Machine Learning Extracted Event,Back in the present.,0:28:04,0:28:10,6,20,Fail,
Machine Learning Extracted Event,SOMEONE's lawyer smirks and SOMEONE blinks incredulously. In the flashback.,0:28:53,0:29:02,9,75,Fail,
Machine Learning Extracted Event,"In another deposition, SOMEONE and his lawyer share a table.",0:28:59,0:29:07,8,60,Fail,
Machine Learning Extracted Event,"twins, SOMEONE, and their attorney.",0:29:03,0:29:09,6,35,Fail,
Machine Learning Extracted Event,Flashback show time passing.,0:30:15,0:30:21,6,28,Fail,
Machine Learning Extracted Event,With SOMEONE and the twins.,0:30:58,0:31:04,6,27,Fail,
Machine Learning Extracted Event,In SOMEONE's room.,0:31:03,0:31:08,5,18,Fail,
Machine Learning Extracted Event,"A call on his cellphone. An envelope slides under the bottom of his door. SOMEONE sits down his things, scoots away from his desk and stands. He treads toward the envelope then hesitates. The young man picks it up and stares at his name on the front, then flips it over and finds a wax seal over the flap. He touches his forehead and pumps a fist. Spinning around, he takes a seat and opens it. Now in his room, SOMEONE works. Several dry erase boards with notes and plans on them stand around him.",0:31:07,0:31:36,29,498,Fail,
Machine Learning Extracted Event,"SOMEONE bites his lips, then looks up resolutely.",0:31:48,0:31:55,7,49,Fail,
Machine Learning Extracted Event,Drops his gaze then smiles and swings his arms.,0:31:53,0:32:00,7,47,Fail,
Machine Learning Extracted Event,He shows the envelope.,0:31:59,0:32:04,5,22,Fail,
Machine Learning Extracted Event,SOMEONE blinks and gives a wounded nod. SOMEONE takes a seat at his desk and focuses on his work.,0:32:07,0:32:16,9,97,Fail,
Machine Learning Extracted Event,"In a flashback. SOMEONE shows the twins an e-mail. Now, Phoenix pledges stand in the cold.",0:32:39,0:32:48,9,90,Fail,
Machine Learning Extracted Event,A guy strips in the snow.,0:33:01,0:33:06,5,25,Fail,
Machine Learning Extracted Event,A pledge pukes. Back in the deposition with the twin's attorney.,0:33:19,0:33:27,8,64,Fail,
Machine Learning Extracted Event,SOMEONE takes notes on a page covered in doodles. In a flashback.,0:33:48,0:33:56,8,65,Fail,
Machine Learning Extracted Event,SOMEONE checks his cell.,0:33:53,0:33:59,6,24,Fail,
Machine Learning Extracted Event,Back in the twins deposition.,0:34:07,0:34:12,5,29,Fail,
Machine Learning Extracted Event,"In a flashback, SOMEONE joins SOMEONE in a computer lab.",0:34:54,0:35:01,7,56,Fail,
Machine Learning Extracted Event,SOMEONE stares blankly.,0:35:05,0:35:11,6,23,Fail,
Machine Learning Extracted Event,SOMEONE's jaw drops. He hits escape on the computer and grabs his bag.,0:35:20,0:35:28,8,70,Fail,
Machine Learning Extracted Event,Leaving SOMEONE with a puzzled look. SOMEONE jogs downstairs.,0:35:29,0:35:36,7,61,Fail,
Machine Learning Extracted Event,Shoves the door open and darts out.,0:35:33,0:35:38,5,35,Fail,
Machine Learning Extracted Event,He high steps through the thick snow on the ground and runs onward.,0:35:37,0:35:43,6,67,Fail,
Machine Learning Extracted Event,"Now, SOMEONE hurries down a dorm corridor, clutching the strap of his backpack. He trots upstairs.",0:35:40,0:35:50,10,98,Fail,
Machine Learning Extracted Event,SOMEONE follows SOMEONE in. The programmer plops down before his computer and types frantically. He pauses thoughtfully then continues. SOMEONE peeks at his work.,0:36:00,0:36:12,12,162,Fail,
Machine Learning Extracted Event,SOMEONE glances solemnly at his friend.,0:36:56,0:37:02,6,39,Fail,
Machine Learning Extracted Event,"SOMEONE backs away, scratching his brow.",0:37:11,0:37:18,7,40,Fail,
Machine Learning Extracted Event,SOMEONE takes out his cell.,0:37:27,0:37:33,6,27,Fail,
Machine Learning Extracted Event,"On the bed behind him, SOMEONE glances at his cell. Then watches his friend.",0:37:45,0:37:53,8,76,Fail,
Machine Learning Extracted Event,SOMEONE rocks forward.,0:37:58,0:38:03,5,22,Fail,
Machine Learning Extracted Event,He rocks backward.,0:38:00,0:38:06,6,18,Fail,
Machine Learning Extracted Event,Now in a dining hall.,0:38:06,0:38:12,6,21,Fail,
Machine Learning Extracted Event,A woman sitting beside SOMEONE uses her laptop.,0:38:28,0:38:34,6,47,Fail,
Machine Learning Extracted Event,SOMEONE looks over at it then grabs her computer.,0:38:46,0:38:53,7,49,Success,
Machine Learning Extracted Event,He puts on his jacket.,0:39:09,0:39:13,4,22,Success,
